cik,name,sic,moodys_methodology,sp_sector,methodology_confidence,methodology_source,is_financial,notes,classifier_commit
0000001750,AAR CORP,3720,Aerospace and Defense,Aerospace And Defense,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000001800,ABBOTT LABORATORIES,2834,Pharmaceuticals,Pharmaceuticals,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000002488,ADVANCED MICRO DEVICES INC,3674,Semiconductors,Technology Hardware And Semiconductors,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000002969,"Air Products & Chemicals, Inc.",2810,Chemicals,Commodity Chemicals,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000003453,"Matson, Inc.",4400,Shipping,Transportation Cyclical,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000003499,ALEXANDERS INC,6798,REITs and Other Commercial Real Estate Firms,Homebuilders And Real Estate Developers,high,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000003570,"Cheniere Energy, Inc.",4924,Regulated Electric and Gas Utilities,Regulated Utilities,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004127,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors,Technology Hardware And Semiconductors,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004281,Howmet Aerospace Inc.,3350,Steel,Metals Production And Processing,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004447,HESS CORP,2911,Integrated Oil and Gas,Refining And Marketing,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004457,U-Haul Holding Co /NV/,7510,Business and Consumer Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004904,AMERICAN ELECTRIC POWER CO INC,4911,Regulated Electric and Gas Utilities,Regulated Utilities,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004962,AMERICAN EXPRESS CO,6199,Finance Companies,Financial Services Finance Companies,low,llm_fallback,True,Ambiguous SIC; classified by LLM from business description; Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000004977,AFLAC INC,6321,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",6331,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000005513,Unum Group,6321,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000006201,American Airlines Group Inc.,4512,Passenger Airlines,Transportation Cyclical,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000006281,ANALOG DEVICES INC,3674,Semiconductors,Technology Hardware And Semiconductors,high,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0000006845,"APOGEE ENTERPRISES, INC.",3231,Building Materials,Building Materials,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
